fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
1083,4.3,6964,26.3,48619,14.7,5914,4.8,0.8,1.3,25.8,947299,723200,9785,140,147.8,1120,3199,"('Votes', 'Hillary Clinton')"
1085,0.2,626,30.4,26230,26.7,682,57.3,0,0,35.2,1156888,103636,8184,5,15.8,330,3782,"('Votes', 'Hillary Clinton')"
1087,1.1,1662,23.1,30724,27.3,1584,66.7,0,0,0,0,87509,3932,1,35.2,483,4293,"('Votes', 'Hillary Clinton')"
1089,5.4,34203,21,58434,12.8,26467,12.3,3.5,1.3,29.2,8650700,4438653,14145,2677,417.7,8786,19995,"('Votes', 'Hillary Clinton')"
1091,0.7,1462,22.4,35079,24,1604,0,0,0,21.4,542135,197221,9274,0,21.5,1092,3590,"('Votes', 'Hillary Clinton')"
1093,1,2287,24,32888,20.9,2224,0,0,0,0,794483,209924,7116,0,41.5,256,567,"('Votes', 'Hillary Clinton')"
1095,8,7192,23.9,39526,19.5,8700,0,0.9,1,24.9,3029491,1357696,15434,28,164.4,821,1494,"('Votes', 'Hillary Clinton')"
1097,3.2,33586,23.9,43028,19.8,34836,18.8,2.4,1.2,29.5,12407151,5225494,12895,746,335.9,5672,28927,"('Votes', 'Hillary Clinton')"
1099,0.9,1237,23.3,29203,28.6,2257,23.6,0,0,24.5,1251911,212618,9342,0,22.5,205,2438,"('Votes', 'Hillary Clinton')"
1101,4.3,20008,19.3,44790,21.2,21463,35.6,2.4,1.3,30.9,7956627,3238175,14351,734,292.5,4266,28650,"('Votes', 'Hillary Clinton')"
1103,5.1,9518,23.7,44800,15.7,10034,5.9,1,0,21.3,0,1637628,14222,136,206.3,1345,3897,"('Votes', 'Hillary Clinton')"
1105,0.5,670,26.8,28209,25.6,854,55.7,0,0,41.3,0,34121,3181,0,14.7,389,2575,"('Votes', 'Hillary Clinton')"
1107,0.3,1610,29.3,28741,27.2,1268,0,0,0,10,107619,113222,5805,3,22.4,453,2326,"('Votes', 'Hillary Clinton')"
1109,4,2516,18.7,33090,27.6,2527,0,0,0,0,0,367926,12189,44,48.9,379,2183,"('Votes', 'Hillary Clinton')"
1111,1.7,1598,26.8,35213,24.5,1550,7.1,0,0,0,401677,161410,7209,0,39.5,328,1236,"('Votes', 'Hillary Clinton')"
1113,2.2,5977,23.6,36143,22,3823,33.9,0,1,32.4,0,428236,8526,244,82.6,988,4381,"('Votes', 'Hillary Clinton')"
1115,1.8,6928,30,50786,15.2,6061,2.4,1.4,0,28.1,985409,581324,7404,80,132.3,745,1808,"('Votes', 'Hillary Clinton')"
1117,6,13991,29,68770,7.9,18393,5.7,0,2,30.5,1723017,2520488,13737,896,248.5,3755,6657,"('Votes', 'Hillary Clinton')"
1119,0.9,706,23.4,22186,38,730,57.5,0,0,0,0,59636,4494,3,15.2,416,2987,"('Votes', 'Hillary Clinton')"
1121,1.6,6691,23.9,35439,22.9,4872,0,1.5,0,26.6,9054200,730728,9113,65,111.7,782,5561,"('Votes', 'Hillary Clinton')"
1123,1.9,3631,23.9,39130,19.8,3528,13,0,0,35,0,362304,8881,16,58.1,308,2658,"('Votes', 'Hillary Clinton')"
1125,3.5,12198,21.8,45408,18.9,14729,13.3,0,0,22.5,10852479,2445850,13664,1375,147.3,3444,12136,"('Votes', 'Hillary Clinton')"
1127,1.2,5353,29.3,37566,20.9,5365,0,0.6,0,23.8,314804,903643,13162,8,84.7,727,1772,"('Votes', 'Hillary Clinton')"
1129,0.9,1025,31.8,42156,18.4,1288,0,0,0,25.6,1153449,76343,4458,2,16.3,562,1511,"('Votes', 'Hillary Clinton')"
1131,0.1,462,21.6,23642,39.2,928,66.2,0,0,37.6,0,75708,6018,0,13.1,410,3337,"('Votes', 'Hillary Clinton')"
1133,1.1,1721,27,32900,24,2380,0,0,0,19.6,797845,166709,6853,7,39.9,138,303,"('Votes', 'Hillary Clinton')"
4001,1.7,4109,30,31476,36.2,3732,0,0,6.2,0,0,276872,3997,38,6.4,1933,4450,"('Votes', 'Hillary Clinton')"
4003,11.6,18795,18.9,45755,17.1,8740,2.5,2.3,15.5,33,181316,1313671,10284,261,21.3,3265,4654,"('Votes', 'Hillary Clinton')"
4005,5.3,8084,18.7,49555,23,11407,0,2.1,5.6,31.1,1526810,1691664,13273,560,7.2,6941,5738,"('Votes', 'Bernie Sanders')"
4007,3.4,6166,20.8,39954,21.6,5250,0,0,0,28.7,0,550763,10545,101,11.3,1305,2196,"('Votes', 'Hillary Clinton')"
4009,5,2695,22.2,44943,22.3,1603,0,0,0,0,0,389416,11211,87,8.1,851,937,"('Votes', 'Hillary Clinton')"
4011,4.7,820,17.5,47992,16,538,0,0,0,0,0,35595,4587,1,4.6,325,497,"('Votes', 'Hillary Clinton')"
4012,13.5,3044,12.4,35776,19.4,1241,0,0,0,32,0,394370,19588,26,4.6,259,309,"('Votes', 'Hillary Clinton')"
4013,14.9,271518,25.4,53596,16.7,311765,2.4,3.9,9.2,27.3,40182099,58688328,15153,18597,414.9,86942,126988,"('Votes', 'Hillary Clinton')"
4015,6.9,26193,18.9,39200,19.4,14568,1.1,1.6,4.6,25.9,1349965,2837691,14489,535,15,2847,4170,"('Votes', 'Hillary Clinton')"
4017,2.6,7144,22.3,36927,30.3,6709,0,0,0,24.7,0,1237467,11148,191,10.8,2621,4415,"('Votes', 'Hillary Clinton')"
4019,12.8,92409,24,45841,19.2,75853,1.3,3.4,14.1,30.1,10365206,11928538,11969,3250,106.7,40228,56317,"('Votes', 'Hillary Clinton')"
4021,10.1,35852,31.1,50027,15.6,15591,3.1,0,12.7,27,2149874,2033110,6718,1744,70,5414,9771,"('Votes', 'Hillary Clinton')"
4023,33.5,2223,19.8,37745,26.3,4599,0.6,1.6,47.1,25,0,681267,15958,44,38.3,1205,2496,"('Votes', 'Hillary Clinton')"
4025,6.8,27950,22.2,42987,15.8,23563,0,1,6.9,25.4,763989,2695406,12714,968,26,7108,8401,"('Votes', 'Hillary Clinton')"
4027,25.3,15380,18.8,41595,20.2,10158,0,2.1,33.9,29.8,891604,2004643,10596,594,35.5,2156,4358,"('Votes', 'Hillary Clinton')"
5001,2.2,1389,15.5,39633,15.8,1791,0,0,0,29.4,1702196,286337,14825,18,19.2,132,724,"('Votes', 'Hillary Clinton')"
5003,2.1,1370,18.5,35683,18.9,1486,0,0,0,19.4,0,170779,7673,0,23.6,980,1375,"('Votes', 'Hillary Clinton')"
5005,1.9,5725,17.1,35343,15.5,4635,0,0.6,0,22.8,550061,486791,11633,8,74.9,807,1391,"('Votes', 'Hillary Clinton')"
5007,10.9,16452,20.1,54515,12.2,18799,0.9,2.3,5.2,23.7,0,2390591,11332,2218,261.2,4696,5650,"('Votes', 'Hillary Clinton')"
