fips,% Foreign Born,Veterans,Mean Travel Time,Median Household Income,Below Poverty Level,Total Number of Firms,% Black-owned Firms,% Asian-owned Firms,% Hispanic-owned Firms,% Women-owned Firms,Manufacturers Shipments ($1000),Retail Sales ($1000),Retail Sales per Capita,Building permits,Population per Square Mile,Bernie Sanders,Hillary Clinton,Most Votes
17047,0.6,556,22.5,39075,11.4,500,0,0,0,22.2,0,40643,6229,0,30.2,148,143,"('Votes', 'Bernie Sanders')"
17049,0.9,2605,17.8,52108,9.1,3422,0,0,0,0,890285,857847,25050,25,71.5,1247,867,"('Votes', 'Bernie Sanders')"
17051,1.6,1712,22.7,44722,17,2194,0,0,0,0,174590,227314,10846,4,30.9,641,616,"('Votes', 'Bernie Sanders')"
17053,0.8,1164,21.8,48866,10.5,1500,0,0,0,31.2,0,112302,7990,11,29,438,288,"('Votes', 'Bernie Sanders')"
17055,0.8,3774,24,36273,19.1,3165,0,0,0,21.4,223186,362193,9236,7,96.8,2780,2172,"('Votes', 'Bernie Sanders')"
17057,1.7,3195,27,45130,13.3,2540,0,0,0,28.8,0,288858,7843,44,42.8,2537,2150,"('Votes', 'Bernie Sanders')"
17059,0.3,457,24.5,40330,17.2,548,0,0,0,0,0,21882,3684,0,17.3,663,531,"('Votes', 'Bernie Sanders')"
17061,0.6,1086,28.9,43502,13.2,1080,0,0,0,0,0,95884,7009,27,25.6,530,503,"('Votes', 'Bernie Sanders')"
17063,3.9,3472,29,64541,9,3673,0,1.3,2.4,33.3,2082448,522618,11097,194,119.8,3095,2051,"('Votes', 'Bernie Sanders')"
17065,0.3,713,26.5,38417,17.1,1013,0,0,0,0,0,41922,5145,0,19.5,485,418,"('Votes', 'Bernie Sanders')"
17067,1.2,1750,23.2,43925,13.6,2125,0,0,0,30.1,193240,106493,5676,5,24.1,431,607,"('Votes', 'Hillary Clinton')"
17069,0.8,381,20.9,37071,23.6,446,0,0,0,0,0,14363,3219,0,24.3,222,162,"('Votes', 'Bernie Sanders')"
17071,1.8,831,23.3,49389,11.3,604,0,0,0,0,0,26145,3462,6,19.3,296,338,"('Votes', 'Hillary Clinton')"
17073,2.4,4338,22.8,52940,10.5,3237,0,0,0,0,0,477578,9644,43,61.3,2056,2156,"('Votes', 'Hillary Clinton')"
17075,3.6,2385,24.4,47079,13.7,2722,0,0,0,23.7,338655,265444,8843,28,26.6,875,542,"('Votes', 'Bernie Sanders')"
17077,5.6,4349,18.5,33479,30.4,4209,0,4.1,0,28.3,177351,684089,11751,130,103.1,4656,2826,"('Votes', 'Bernie Sanders')"
17079,1,733,24.4,52233,6.6,1127,0,0,0,19.9,0,82642,8592,0,19.6,434,328,"('Votes', 'Bernie Sanders')"
17081,1.3,3407,19.6,42981,16.5,2846,3,0,0,18.6,0,567630,14157,7,68,1775,1677,"('Votes', 'Bernie Sanders')"
17083,1.3,2436,29,53954,7.6,2278,0,0,0,30.6,0,250326,11186,25,62.2,1069,853,"('Votes', 'Bernie Sanders')"
17085,3.1,2271,21.5,50817,9.5,2655,0,0,0,23,419517,310735,14017,28,37.7,1225,1315,"('Votes', 'Hillary Clinton')"
17087,1.4,1352,26.3,40760,14.1,713,0,0,0,37.7,0,65543,4788,0,36.6,420,361,"('Votes', 'Bernie Sanders')"
17089,18.1,24660,29.3,69530,11.1,38586,4.1,4.5,7.6,29.9,9879494,5688267,11482,1283,990.8,31085,24063,"('Votes', 'Bernie Sanders')"
17091,4.7,8404,23.4,50102,16.4,8399,0,0,0,28.1,3418939,1258509,11264,127,167.7,5751,4898,"('Votes', 'Bernie Sanders')"
17093,9.3,5821,33.3,81765,4.8,8311,3.1,0,9.3,32.8,685730,1064021,10957,283,358.2,7482,5283,"('Votes', 'Bernie Sanders')"
17095,2.2,4757,19.2,40667,16.7,3333,0,0,0,32,0,681371,13120,27,73.9,3168,2836,"('Votes', 'Bernie Sanders')"
17097,18.1,35286,29.7,77469,9,68418,3.8,5.8,5.3,28.6,16381499,20336251,28949,1341,1585.6,44355,49750,"('Votes', 'Hillary Clinton')"
17099,3.3,9116,22.9,52640,12.2,8452,0,3.3,0,27.1,2244000,1739926,15466,147,100.4,6739,5271,"('Votes', 'Bernie Sanders')"
17101,2.6,1239,19.1,40145,13.3,1242,0,0,0,0,0,81715,4923,42,45.2,429,417,"('Votes', 'Bernie Sanders')"
17103,2.3,2900,22.2,50060,10.7,2448,0,0,0,26.3,1098190,366468,10426,21,49.7,1958,1292,"('Votes', 'Bernie Sanders')"
17105,1.5,2815,21.5,54614,10.3,2551,0,2.5,0,26.8,1261471,396450,10438,22,37.3,971,757,"('Votes', 'Bernie Sanders')"
17107,1.8,2276,20.9,47133,13.8,1823,0,0,0,23.8,631562,275457,9219,13,49,972,737,"('Votes', 'Bernie Sanders')"
17109,3.4,2407,15.5,36031,23.1,2554,0,0,0,0,248754,338109,10221,8,55.3,1469,1052,"('Votes', 'Bernie Sanders')"
17111,9.4,17482,33.7,76145,7.7,28523,0.7,3.3,3,29.9,5291243,3578581,11372,558,511.9,15502,9766,"('Votes', 'Bernie Sanders')"
17113,6,10227,17.9,62089,14.2,12693,5.4,3.9,1.4,29.8,2578827,2231369,13607,246,143.3,12936,7695,"('Votes', 'Bernie Sanders')"
17115,2.1,9711,18.2,46559,17.6,7840,0,2.3,0.7,32.5,9590836,1450614,13342,53,190.8,4990,5945,"('Votes', 'Hillary Clinton')"
17117,0.8,4417,27.7,49590,12.4,3653,0,0,0,37.4,180436,326048,6760,47,55.4,3552,2770,"('Votes', 'Bernie Sanders')"
17119,2.4,23227,24.3,53633,14,18588,3.1,0,2.8,30.9,18978164,3104222,11622,525,376.3,18723,15332,"('Votes', 'Bernie Sanders')"
17121,0.9,3473,21.6,41010,18.1,3236,0,0,0,0,689705,345728,8734,0,68.9,1681,1609,"('Votes', 'Bernie Sanders')"
17123,2,1118,25.5,51504,11,1057,0,0,0,0,0,78465,6085,1,32.7,586,568,"('Votes', 'Bernie Sanders')"
17125,1.1,1209,25.9,42260,16.3,651,0,0,0,30.3,0,98760,6563,1,27.2,676,680,"('Votes', 'Hillary Clinton')"
17127,0.6,1263,20.5,43615,16.3,1395,0,0,0,23.7,0,75936,5025,2,65,492,539,"('Votes', 'Hillary Clinton')"
17129,0.4,1135,27,58190,9.8,1128,0,0,0,0,0,68939,5507,24,40.4,491,398,"('Votes', 'Bernie Sanders')"
17131,1,1471,27.8,53136,10.1,1344,0,0,0,33.1,0,85284,5191,6,29.3,859,946,"('Votes', 'Hillary Clinton')"
17133,0.8,2703,29.7,68482,5.4,3221,0,0,0,28.1,0,405724,12507,118,85.6,1775,1436,"('Votes', 'Bernie Sanders')"
17135,1.3,2871,23,41952,14.1,2543,0,0,0,31.2,305556,401515,13479,24,42.8,1266,1241,"('Votes', 'Bernie Sanders')"
17137,1.8,2997,18.8,46809,14.4,2795,0,0,0,25.3,0,403082,11399,2,62.5,1278,917,"('Votes', 'Bernie Sanders')"
17139,1.4,1037,22.1,46622,12.8,1186,0,0,0,0,541212,118718,8275,40,44.2,566,462,"('Votes', 'Bernie Sanders')"
17141,4.9,4112,24,54541,11.3,4622,0,0,0,0,1137608,454312,8257,38,70.5,2642,1793,"('Votes', 'Bernie Sanders')"
17143,5,12756,19.4,50712,17.2,13447,0,2.8,1.2,29.7,4951288,2425913,13250,174,301.2,10345,11341,"('Votes', 'Hillary Clinton')"
17145,1.8,1880,28.1,42078,18.4,1445,0,0,0,19.8,369043,168280,7452,50,50.6,930,853,"('Votes', 'Bernie Sanders')"
17147,1.3,1324,23.7,63027,6.2,1407,0,0,0,0,0,118815,7220,20,38.1,1016,787,"('Votes', 'Bernie Sanders')"
17149,0.6,1146,24.8,39845,16.6,1444,0,0,0,0,0,136472,8233,20,19.8,451,495,"('Votes', 'Hillary Clinton')"
17151,2.5,435,30.4,38371,17,0,0,0,0,0,0,9223,2245,0,12.1,176,109,"('Votes', 'Bernie Sanders')"
17153,1.7,552,28.4,33717,18.8,264,0,0,0,0,0,31840,4941,3,30.9,158,285,"('Votes', 'Hillary Clinton')"
17155,1.5,615,21.9,54196,14.2,493,0,0,0,16.8,0,21663,3619,13,37.5,504,450,"('Votes', 'Bernie Sanders')"
17157,1.1,3052,23,47427,12.4,2250,0,0,0,33.6,532245,332305,10123,21,58.2,1549,1306,"('Votes', 'Bernie Sanders')"
17159,1.6,1469,17.5,44070,14.2,1481,0,0,0,21.6,94581,161489,10346,4,45.1,543,448,"('Votes', 'Bernie Sanders')"
17161,7.4,12099,18.9,48702,13.3,9360,5.1,0,2.9,29.4,3714268,1711386,11636,241,345,9327,10216,"('Votes', 'Hillary Clinton')"
17163,2.7,29633,23.6,50578,17.6,17080,13.5,2.7,1.5,33.3,2324457,3087185,11818,762,410.6,15565,20987,"('Votes', 'Hillary Clinton')"
17165,1.3,2136,22.9,37800,19.1,1937,0,0,0,25.7,92440,271186,10427,0,65.6,1150,1042,"('Votes', 'Bernie Sanders')"
17167,3.5,15997,18.9,55449,14.2,17195,6,0,0,28.1,0,2862623,14768,431,227.4,10365,9255,"('Votes', 'Bernie Sanders')"
17169,1.1,841,25.2,48138,15.9,508,0,0,0,0,0,53090,7647,0,17.3,293,368,"('Votes', 'Hillary Clinton')"
17171,0.6,427,24.3,49669,12.3,449,0,0,0,0,0,34894,6686,0,21.3,161,150,"('Votes', 'Bernie Sanders')"
17173,0.6,2239,23.3,47188,11.8,1699,0,0,0,0,0,140900,6477,32,29.5,940,782,"('Votes', 'Bernie Sanders')"
17175,0.7,484,26.8,54203,11.1,0,0,0,0,0,0,57253,9404,3,20.8,215,197,"('Votes', 'Bernie Sanders')"
17177,1.9,3913,20.4,43472,15.9,3662,2.3,0,1.1,0,905092,480551,10285,8,84.5,1899,1953,"('Votes', 'Hillary Clinton')"
17179,1.7,10732,20.5,56067,9.1,9910,0.9,0,0,27.9,5145678,1758134,13424,637,208.6,7154,5867,"('Votes', 'Bernie Sanders')"
17181,2.8,1591,24.5,41848,19.5,1445,0,0,4.9,0,176076,145142,8009,13,43.1,1152,921,"('Votes', 'Bernie Sanders')"
17183,2.1,7337,20.8,41400,19.6,5845,0,0,0,28.4,2576404,757887,9367,6,90.9,2781,3017,"('Votes', 'Hillary Clinton')"
17185,2.7,918,21.5,47365,12.7,1104,0,0,0,13.2,0,109214,8966,1,53.5,343,356,"('Votes', 'Hillary Clinton')"
17187,5.5,1299,18.6,43536,15.8,1350,0,0,0,29.2,0,133722,7602,6,32.6,741,726,"('Votes', 'Bernie Sanders')"
17189,1,1446,24,52832,10.2,0,0,0,0,0,409194,197317,13400,20,26.2,595,409,"('Votes', 'Bernie Sanders')"
17191,1,1454,21.7,43605,14.7,1653,0,0,0,23.8,0,146263,8814,1,23.5,360,277,"('Votes', 'Bernie Sanders')"
17193,1.4,1374,24.9,42914,15.6,1249,0,0,0,0,0,123142,8392,1,29.6,530,565,"('Votes', 'Hillary Clinton')"
17195,2.8,5000,19.7,47667,12,4063,0,0,0,23.7,1022531,570627,9676,19,85.5,3102,2895,"('Votes', 'Bernie Sanders')"
17197,11.7,34224,32.8,76147,8,53097,6.9,5.2,5.3,29.4,13628202,6841452,10211,1185,809.6,46305,41651,"('Votes', 'Bernie Sanders')"
17199,1.8,6348,20.9,43125,15.6,5881,0,0,1,27.7,681388,987511,15370,115,157.9,3902,2978,"('Votes', 'Bernie Sanders')"
17201,7.6,21278,21.7,47072,17.5,23683,7,2.7,2.4,28.9,7913361,3851993,12943,139,575.2,16715,15065,"('Votes', 'Bernie Sanders')"
17203,1.1,2681,23.1,66639,8.8,2365,0,0,0,0,963346,278287,7329,75,73.3,1616,1277,"('Votes', 'Bernie Sanders')"
18001,0.7,1778,21.5,46695,18.1,3173,0,0,0,18.6,2127689,369895,10928,79,101.4,1030,991,"('Votes', 'Bernie Sanders')"
18003,6.2,23407,20.3,49370,15.3,27292,0,1.9,0,27.1,19741940,4774175,13667,1115,540.6,16435,15032,"('Votes', 'Bernie Sanders')"
18005,7.6,5460,19.1,54165,12.2,5856,0.8,2.7,0,28.8,4843890,1075239,14399,254,188.7,3182,2778,"('Votes', 'Bernie Sanders')"
18007,1.6,638,24.9,48711,11.1,0,0,0,0,0,0,50891,5852,2,21.8,235,190,"('Votes', 'Bernie Sanders')"
18009,0.9,1135,24.4,39225,16,891,0,0,0,0,397083,97872,7389,3,77.3,514,493,"('Votes', 'Bernie Sanders')"
18011,3.4,3333,24.1,67255,7.5,5662,0,0,0,23.2,0,484483,8970,526,133.9,2555,2075,"('Votes', 'Bernie Sanders')"
18013,0.9,1704,35.9,51568,14.6,1952,0,0,0,27.4,0,61518,4180,48,48.9,1269,805,"('Votes', 'Bernie Sanders')"
18015,2.5,1694,25.7,50542,10.7,1448,0,0,0,0,0,102111,5153,24,54.1,648,508,"('Votes', 'Bernie Sanders')"
18017,8.3,3138,20.1,41940,16.5,2706,0,0,0,16.6,1302002,340870,8714,12,94.5,1655,1137,"('Votes', 'Bernie Sanders')"
18019,3.7,8935,24.1,50496,12.2,8622,0,0,1,26.1,2114873,1729530,16414,531,295.6,5305,6192,"('Votes', 'Hillary Clinton')"
18021,0.5,1990,27,46430,15.8,2069,0,0,0,24.4,0,312395,11737,14,75.2,1049,931,"('Votes', 'Bernie Sanders')"
18023,6.5,2051,22.1,48953,13.9,2280,0,0,1.4,26.2,2283489,223595,6579,24,82,1046,724,"('Votes', 'Bernie Sanders')"
18025,0.7,814,33.2,39700,19.6,1204,0,0,0,0,0,40720,3752,0,35.1,616,684,"('Votes', 'Hillary Clinton')"
18027,2.2,1942,21,47165,12.9,2346,0,0,0,17.6,643418,381537,12667,4,73.7,701,539,"('Votes', 'Bernie Sanders')"
18029,1.1,3727,29.3,56946,9.1,3964,0,0,0,18.7,786076,509651,10256,65,164.1,1245,1389,"('Votes', 'Hillary Clinton')"
18031,1.9,1959,23.2,48047,14.1,2125,0,0,0,25.9,1869737,315023,12582,50,69.1,733,631,"('Votes', 'Bernie Sanders')"
18033,1.1,3081,21,47247,12.4,2751,0,0,0,21.7,3818858,408899,9774,94,116.4,1269,1139,"('Votes', 'Bernie Sanders')"
18035,2,8635,20.1,37474,22.3,7848,2,0,0,27.1,1280555,1516815,13156,98,300.1,7728,6137,"('Votes', 'Bernie Sanders')"
18037,3.6,3188,19.8,54780,8.3,3595,0,0,0,26.1,0,763441,18509,124,98,2293,2305,"('Votes', 'Hillary Clinton')"
18039,8.5,11289,19.4,45693,16.7,16077,2.5,1.9,2,22.6,15779841,2416879,12182,270,426.5,6935,4788,"('Votes', 'Bernie Sanders')"
18041,0.7,2146,25,37391,23,1494,0,0,0,25.8,486488,208881,8604,11,112.9,1097,984,"('Votes', 'Bernie Sanders')"
18043,2.8,6110,22.7,53961,13.3,0,0,0,0,0,1558350,787397,10813,142,504.1,4108,4584,"('Votes', 'Hillary Clinton')"
18045,1.3,1261,25.7,45884,11.9,1276,0,0,0,0,498444,142465,8336,2,43.6,462,413,"('Votes', 'Bernie Sanders')"
18047,0.8,1464,31.4,49516,13.5,1848,0,0,0,16.7,0,171270,7407,35,60.1,552,667,"('Votes', 'Hillary Clinton')"
18049,2.9,1634,22.7,40168,15.5,2171,0,0,0,26,524323,200781,9931,15,56.6,683,594,"('Votes', 'Bernie Sanders')"
18051,1,2474,21.2,49329,11.5,2360,0,0,0,24.2,0,442605,13501,121,68.7,1453,1484,"('Votes', 'Hillary Clinton')"
18053,1.5,5887,18.9,39747,18.6,4581,2.5,1.2,0,0,1670123,765826,11121,68,169.2,2344,2318,"('Votes', 'Bernie Sanders')"
18055,0.7,3065,29.4,43980,14,2325,0,0,0,0,0,226084,6924,0,61.1,1464,1086,"('Votes', 'Bernie Sanders')"
18057,7.2,15778,26.5,82468,5.1,28209,1.8,3.1,1.4,27.6,1569925,3295421,12582,3684,696.4,14557,12297,"('Votes', 'Bernie Sanders')"
18059,1.5,5381,26.3,62981,7.6,6449,0,0,0,27.5,1256037,568518,8584,395,228.8,2600,1793,"('Votes', 'Bernie Sanders')"
18061,1.1,3337,30.2,50510,13.2,3701,2.1,1,1.3,27.1,410685,400931,10862,84,81.2,1627,1887,"('Votes', 'Hillary Clinton')"
18063,4.2,10552,25.9,68297,5,11771,2.4,3.8,0.9,25,2819422,2088672,15496,1145,357.4,6898,4873,"('Votes', 'Bernie Sanders')"
18065,0.9,4313,27.3,40679,17,2846,0,1.1,0,29.3,1026569,455036,9706,18,126.2,2139,1789,"('Votes', 'Bernie Sanders')"
18067,2,7482,20.4,43590,16.7,5748,0,0,0,28.8,2923185,1194698,14264,140,282.4,3733,3526,"('Votes', 'Bernie Sanders')"
18069,1.5,2703,20.8,46148,12,2795,0,0,0,19.1,1478637,328017,8651,53,97,1227,836,"('Votes', 'Bernie Sanders')"
18071,5.6,2815,20.3,46501,13,3274,0,0,0,19.9,2585502,529531,12572,178,83.2,1380,1467,"('Votes', 'Hillary Clinton')"
18073,2.3,2515,26.6,57500,7.7,2557,0,0,0,0,601064,405489,12531,51,59.8,1323,910,"('Votes', 'Bernie Sanders')"
18075,1.1,1392,20.6,40235,14.7,1163,0,0,0,26.6,835131,139539,6543,21,55.4,704,692,"('Votes', 'Bernie Sanders')"
18077,2,2668,22,43795,13.6,2651,0,0,0,0,1476978,382708,11801,29,89.9,1465,1648,"('Votes', 'Hillary Clinton')"
18079,1.2,2203,25.5,44128,16.7,2546,0,1.1,0,0,377163,223798,7956,47,75.7,921,837,"('Votes', 'Bernie Sanders')"
18081,3.8,9895,26.1,61231,10.6,11957,0,3.1,0.8,26.6,1609901,2072896,15169,668,435.8,5480,3686,"('Votes', 'Bernie Sanders')"
18083,1.3,2712,19.6,42119,14,2411,0,1.9,0,23.7,774300,471778,12463,34,74.5,1774,1742,"('Votes', 'Bernie Sanders')"
18085,4.1,4941,20.9,50859,11.9,6674,0,0,0,23.4,5705256,794883,10423,261,145.6,2120,1373,"('Votes', 'Bernie Sanders')"
18087,1.9,1778,22.5,47617,16.5,3596,0,0,0,21.1,1602328,276916,7498,121,97.8,578,521,"('Votes', 'Bernie Sanders')"
18089,6.7,32821,27.6,49035,17.8,34165,18.6,2.5,6.7,31.1,21914467,7102425,14455,908,994.1,32893,43091,"('Votes', 'Hillary Clinton')"
18091,3,8961,22.3,47538,16.5,7314,0,1,1.3,0,2364020,1363592,12355,125,186.3,7273,6178,"('Votes', 'Bernie Sanders')"
18093,1.4,4192,26,42627,15.2,3615,0,1.1,1.5,19.4,716454,481647,10481,42,102.7,1648,1062,"('Votes', 'Bernie Sanders')"
18095,2,10329,25.7,43120,17.3,8275,0,0.8,0.6,24.2,1046853,1234877,9433,92,291.3,7170,6635,"('Votes', 'Bernie Sanders')"
18097,8.5,57036,22.7,42334,20.4,69266,11.9,2.4,2.2,28,24333886,12951290,14748,1195,2279.6,58799,59649,"('Votes', 'Hillary Clinton')"
18099,4.2,3264,21.3,45709,15.2,3975,0,0,0,26,1239448,550984,11839,83,106.1,1705,1202,"('Votes', 'Bernie Sanders')"
18101,0.8,925,25.4,44740,14.6,814,0,0,0,24.7,0,81212,8044,8,30.8,486,407,"('Votes', 'Bernie Sanders')"
18103,1.2,3454,24,42023,17.2,2311,0,0,0,31.8,711346,235379,6423,10,98.7,987,720,"('Votes', 'Bernie Sanders')"
18105,7.9,7448,18.2,40052,25.1,10571,1.8,2.3,1.5,25.2,1799286,1530793,11968,521,349.7,15166,8063,"('Votes', 'Bernie Sanders')"
18107,2.6,2793,21.1,46797,16.8,2644,0,1.1,0,24.1,2768351,429214,11343,45,75.6,966,715,"('Votes', 'Bernie Sanders')"
18109,1.4,5557,29.2,55354,11.5,5569,0,1.5,0,0,0,586949,8378,129,170.5,2158,1600,"('Votes', 'Bernie Sanders')"
18111,2,986,30.5,50262,11.2,761,0,0,0,0,197474,96674,6901,22,35.5,521,434,"('Votes', 'Bernie Sanders')"
18113,4.9,3335,23.5,47117,14.2,3211,0,0,1.9,26.1,2454544,357295,7491,87,115.7,1274,1134,"('Votes', 'Bernie Sanders')"
18115,0.2,553,32.4,50377,8.3,357,0,0,0,0,0,23731,4068,20,71.1,178,248,"('Votes', 'Hillary Clinton')"
18117,0.4,1416,26.7,38826,17.9,1461,0,0,0,0,201749,153183,7812,1,49.8,661,603,"('Votes', 'Bernie Sanders')"
18119,1.1,2049,32.5,43950,14,1797,0,0,0,18.6,0,106333,4750,18,56,1056,631,"('Votes', 'Bernie Sanders')"
18121,1.2,1398,25.9,43870,13.3,0,0,0,0,0,137612,84463,4932,26,39,539,392,"('Votes', 'Bernie Sanders')"
18123,0.4,1406,22.6,47596,10.9,1275,0,0,0,27.7,600192,153361,8097,48,50.7,1114,1358,"('Votes', 'Hillary Clinton')"
18125,0.4,1066,25.2,40680,12.7,684,0,0,0,0,0,55934,4449,20,38.4,625,526,"('Votes', 'Bernie Sanders')"
18127,3.7,11934,26.8,62794,10.4,12407,1.4,1.5,3.1,29.2,7318767,1956275,12188,448,393,13344,9466,"('Votes', 'Bernie Sanders')"
18129,1.1,1914,23.2,58750,9.9,1953,0,0,0,25.1,0,268383,10225,55,63.3,1378,1117,"('Votes', 'Bernie Sanders')"
18131,0.8,884,23.9,44764,14,929,0,0,0,22.6,0,112778,8175,13,30.9,473,351,"('Votes', 'Bernie Sanders')"
18133,1.8,2769,28.5,50821,9.7,2731,0,0,0,0,675972,310811,8367,65,79,1189,974,"('Votes', 'Bernie Sanders')"
18135,0.9,1971,22.5,40904,17.4,2182,0,0,0,27.7,577384,273327,10588,6,57.9,887,705,"('Votes', 'Bernie Sanders')"
18137,1.4,2351,26.3,47537,9.4,2715,0,0,0,0,757369,255352,9347,86,64.6,690,674,"('Votes', 'Bernie Sanders')"
18139,0.5,1398,26.3,47401,15.4,1605,0,0,0,24.5,523330,113360,6468,10,42.6,561,417,"('Votes', 'Bernie Sanders')"
18141,5.7,18001,20.2,44582,17.7,20374,6.5,1.7,1.9,26.7,8011023,3683417,13831,428,583,17355,15514,"('Votes', 'Bernie Sanders')"
18143,1.2,1620,26.7,42898,19,1981,0,0,0,10.8,978675,241227,10156,26,127,1288,1588,"('Votes', 'Hillary Clinton')"
18145,2.4,3476,24,51440,12.9,3706,0,0,0,23.5,2354852,487648,11094,59,108.1,1497,1215,"('Votes', 'Bernie Sanders')"
18147,2,1873,26.8,52991,12.6,1276,0,0,0,21.9,0,166048,8215,36,52.8,1030,1060,"('Votes', 'Hillary Clinton')"
18149,1.8,1825,28.9,40126,16.9,1470,0,0,0,29.7,243732,156674,6730,36,75.6,1277,1055,"('Votes', 'Bernie Sanders')"
18151,2,2665,22.5,48080,11.5,3523,0,0.9,0.8,18.2,1147951,575134,17170,98,110.7,1120,981,"('Votes', 'Bernie Sanders')"
18153,1,1449,23.8,43510,17.9,1281,0,0,0,28.5,0,146923,6894,2,48,1454,1058,"('Votes', 'Bernie Sanders')"
18155,1.8,882,32.4,44143,22.2,620,0,0,0,0,0,19919,2074,54,48.1,410,430,"('Votes', 'Hillary Clinton')"
18157,10.4,9517,17.6,44246,21.6,9383,0,4.4,3.4,30.5,0,2079578,12769,1055,345.7,9580,5998,"('Votes', 'Bernie Sanders')"
18159,1.8,1525,24.4,52686,9.4,1240,0,0,0,23.5,362143,136038,8473,7,61.2,606,437,"('Votes', 'Bernie Sanders')"
18161,0.8,588,23.8,44161,12.7,0,0,0,0,0,0,31015,4366,3,46.6,205,205,"('Votes', 'Bernie Sanders')"
18163,2.5,13397,18.9,43540,15.9,12530,2.9,1.5,1.2,25.7,6447599,3025844,17308,322,769.7,9132,7679,"('Votes', 'Bernie Sanders')"
18165,0.3,1544,24.4,42524,15.8,1119,0,3.6,0,22.7,0,184550,11296,1,63.1,1309,1074,"('Votes', 'Bernie Sanders')"
18167,3.3,7960,19.9,40692,20,7034,4.8,3.2,0.6,23,3565934,1668183,15780,321,267.4,7434,6042,"('Votes', 'Bernie Sanders')"
18169,1.6,2489,19.2,45286,15.1,2571,0,0,0,30.7,1045382,325620,9889,24,79.7,1080,906,"('Votes', 'Bernie Sanders')"
18171,1.1,673,26.7,52317,7.1,680,0,0,0,28.7,93073,24040,2812,19,23.3,273,257,"('Votes', 'Bernie Sanders')"
18173,2.5,4677,23.1,62351,9,5024,0,0,0,30.3,0,331226,5794,304,155.1,3139,2677,"('Votes', 'Bernie Sanders')"
18175,0.7,2041,29.6,41986,15.1,2057,0,0,0,30.5,248328,190711,6844,32,55,932,999,"('Votes', 'Hillary Clinton')"
18177,2,5746,19.6,38350,21.8,4610,2.2,0.9,0,17.4,2483052,1004328,14748,85,171.5,2411,2025,"('Votes', 'Bernie Sanders')"
18179,1.2,1840,21.4,48136,10.7,2311,0,0,0,0,699092,221300,7969,36,75.1,796,763,"('Votes', 'Bernie Sanders')"
18181,3.5,2075,23.3,51444,10.8,2582,0,0,0,21.3,715246,283389,11911,31,48.8,912,709,"('Votes', 'Bernie Sanders')"
18183,1,2628,24,51914,8.2,2734,0,0,0,0,2107506,343476,10547,94,99.2,1143,883,"('Votes', 'Bernie Sanders')"
19001,1.1,790,22.7,47892,9.5,745,0,0,0,0,0,49644,6546,8,13.5,132,168,"('Votes', 'Hillary Clinton')"
19003,0.6,353,21.2,45871,11.3,443,0,0,0,0,0,32586,7950,1,9.5,86,113,"('Votes', 'Hillary Clinton')"
19005,4.3,1282,23.6,48831,12.6,1648,0,0,0,22.8,0,128662,8922,41,22.4,296,304,"('Votes', 'Hillary Clinton')"
19007,1,1045,19,39208,15.2,1428,0,0,0,0,151576,133534,10331,6,25.9,226,273,"('Votes', 'Hillary Clinton')"
19009,0.6,557,18.2,48313,9.5,456,0,0,0,0,0,37302,6083,5,13.8,112,187,"('Votes', 'Hillary Clinton')"
19011,1.1,2160,23.7,56669,8.4,2420,0,0,0,31.2,176791,176434,6645,28,36.4,528,672,"('Votes', 'Hillary Clinton')"
19013,4.8,9095,15.8,45747,17,9739,4.1,0,0.6,29.1,5880301,1929430,15224,314,231.7,3647,3220,"('Votes', 'Bernie Sanders')"
19015,0.9,2277,21.1,51826,10.1,2180,0,0,0,0,161292,210610,8009,44,46,715,585,"('Votes', 'Bernie Sanders')"
19017,0.6,1914,19.2,61216,7.3,2419,0,0,0,30.5,699712,268428,11358,74,55.7,544,640,"('Votes', 'Hillary Clinton')"
19019,1,1511,20.9,55553,9.9,1874,0,0,0,18,640836,214820,10242,27,36.7,475,525,"('Votes', 'Hillary Clinton')"
19021,18.6,1207,13.7,46951,12.8,1704,0,0,0,26.6,1578035,260846,13408,8,35.2,291,291,"('Votes', 'Bernie Sanders')"
19023,0.6,1007,22.9,52026,9.8,0,0,0,0,0,0,79082,5407,21,25.6,350,250,"('Votes', 'Bernie Sanders')"
19025,0.7,928,19.6,44484,13.4,846,0,0,0,0,0,103509,10402,12,17,200,200,"('Votes', 'Bernie Sanders')"
19027,0.8,1447,14.1,48361,9.6,2755,0,0,0,23.7,794027,298050,14338,26,36.6,296,504,"('Votes', 'Hillary Clinton')"
19029,1,1155,17.3,43481,11.4,1682,0,0,0,0,0,178171,12846,12,24.7,190,300,"('Votes', 'Hillary Clinton')"
19031,1.3,1620,25.2,58088,8,0,0,0,0,0,178789,131334,7317,29,31.9,445,354,"('Votes', 'Bernie Sanders')"
19033,2.1,3999,15.7,44795,13.2,3952,0,0,1.8,22.2,1357504,887071,20200,86,77.7,1108,1091,"('Votes', 'Bernie Sanders')"
19035,0.9,1163,15.3,48977,9.7,796,0,0,0,0,279270,139445,11935,6,20.9,218,181,"('Votes', 'Bernie Sanders')"
19037,1.8,1116,21.3,43971,10.3,1078,0,0,0,16.4,278276,103931,8537,5,24.7,233,360,"('Votes', 'Hillary Clinton')"
19039,5.5,695,21.9,43216,13.7,752,0,0,0,22.5,416569,95388,10579,1,21.5,168,232,"('Votes', 'Hillary Clinton')"
